Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
93	1	-41.7048	-48.7853	7.08052	0.5569415	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4530961	0.1891271
94	0	-45.7507	-51.245	5.49426	0.2357126	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.771056	1.14125
95	1	-43.3841	-48.7897	5.40563	0.5892748	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.255611	1.341406
96	0	-41.706	-48.7842	7.07817	0.571834	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2811333	0.3461637
97	1	-44.8396	-49.58	4.74033	0.8679971	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.792281	0.2647981
98	0	-43.8432	-48.8467	5.00351	0.4993247	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.536871	0.6457488
99	1	-41.8154	-48.8173	7.00187	0.5171039	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1467008	0.6365278
100	0	-47.1417	-48.9592	1.81752	0.6962839	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	6.457809	0.2820251
101	1	-44.0846	-48.784	4.69941	0.5659348	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.236671	2.228583
102	0	-44.0248	-48.8229	4.79806	0.5132202	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.060003	1.350589
103	1	-42.7042	-48.9086	6.2044	0.4732839	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.611317	0.1731228
104	0	-43.2991	-49.093	5.79394	0.7431066	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.183318	0.768498
105	1	-41.9058	-48.7859	6.88015	0.5800492	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1115863	0.7415939
106	0	-45.0148	-48.7844	3.76961	0.5615736	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.207959	2.369029
