Iteration	Posterior	Likelihood	Prior	R
414	-35.181	-32.7968	-2.38422	2.384224
415	-35.103	-32.7968	-2.30623	2.30623
416	-33.4876	-32.7968	-0.690791	0.6907906
417	-34.6441	-32.7968	-1.84729	1.847294
418	-34.2747	-32.7968	-1.4779	1.477904
419	-33.2162	-32.7968	-0.419439	0.4194392
420	-33.0648	-32.7968	-0.268025	0.2680252
421	-32.895	-32.7968	-0.0982214	0.09822142
422	-33.2472	-32.7968	-0.450404	0.4504038
423	-33.7752	-32.7968	-0.978456	0.9784564
424	-37.3003	-32.7968	-4.50349	4.503488
425	-37.3003	-32.7968	-4.50349	4.503488
426	-34.4614	-32.7968	-1.66462	1.664624
427	-33.1535	-32.7968	-0.356701	0.3567009
428	-33.2191	-32.7968	-0.422283	0.4222833
429	-32.9768	-32.7968	-0.179991	0.1799907
430	-32.8918	-32.7968	-0.0950268	0.09502675
431	-33.14	-32.7968	-0.34322	0.34322
432	-33.2248	-32.7968	-0.427983	0.427983
433	-34.4044	-32.7968	-1.60765	1.607651
434	-33.1786	-32.7968	-0.381865	0.3818651
435	-33.0298	-32.7968	-0.233038	0.2330384
436	-32.9312	-32.7968	-0.134442	0.1344421
437	-33.126	-32.7968	-0.329266	0.3292661
438	-33.1609	-32.7968	-0.364163	0.3641631
439	-34.4077	-32.7968	-1.61089	1.610888
440	-34.5869	-32.7968	-1.79013	1.790127
441	-34.1866	-32.7968	-1.38986	1.389864
442	-33.7466	-32.7968	-0.949779	0.9497789
443	-33.7466	-32.7968	-0.949779	0.9497789
444	-33.5507	-32.7968	-0.753906	0.7539059
445	-33.477	-32.7968	-0.680262	0.6802624
446	-32.9965	-32.7968	-0.199695	0.1996951
447	-32.9203	-32.7968	-0.123506	0.1235062
448	-33.24	-32.7968	-0.443255	0.4432545
449	-33.8329	-32.7968	-1.03616	1.036163
450	-33.4385	-32.7968	-0.641692	0.6416919
451	-34.7473	-32.7968	-1.95053	1.950526
452	-33.0037	-32.7968	-0.206956	0.2069564
453	-33.0037	-32.7968	-0.206956	0.2069564
454	-32.8441	-32.7968	-0.0473047	0.04730468
455	-32.9247	-32.7968	-0.127945	0.1279451
456	-33.2356	-32.7968	-0.438845	0.4388451
457	-33.9581	-32.7968	-1.16133	1.161332
458	-35.4089	-32.7968	-2.61216	2.612159
459	-33.1012	-32.7968	-0.304387	0.304387
460	-33.7083	-32.7968	-0.911551	0.9115515
461	-33.4955	-32.7968	-0.69877	0.6987696
462	-35.9631	-32.7968	-3.16637	3.166368
463	-35.2538	-32.7968	-2.45702	2.457023
464	-34.1605	-32.7968	-1.36374	1.363745
465	-34.2894	-32.7968	-1.4926	1.492601
466	-33.1596	-32.7968	-0.362824	0.3628245
467	-33.1705	-32.7968	-0.373697	0.3736965
468	-33.9302	-32.7968	-1.13339	1.133388
469	-33.7116	-32.7968	-0.914842	0.9148421
470	-33.8659	-32.7968	-1.06914	1.069144
471	-34.3436	-32.7968	-1.54681	1.546811
472	-36.0845	-32.7968	-3.28769	3.287689
473	-34.4023	-32.7968	-1.60551	1.605513
474	-34.7696	-32.7968	-1.9728	1.972804
475	-34.7696	-32.7968	-1.9728	1.972804
476	-35.6269	-32.7968	-2.83014	2.830144
477	-33.5258	-32.7968	-0.729027	0.7290274
478	-35.6153	-32.7968	-2.81854	2.818538
479	-33.2432	-32.7968	-0.446387	0.4463867
480	-33.857	-32.7968	-1.06023	1.060225
481	-33.1889	-32.7968	-0.392116	0.3921163
482	-34.3418	-32.7968	-1.54501	1.545006
483	-34.4304	-32.7968	-1.63362	1.633624
484	-33.748	-32.7968	-0.951198	0.9511984
485	-33.5674	-32.7968	-0.770587	0.7705873
486	-33.6252	-32.7968	-0.828453	0.8284531
487	-34.6365	-32.7968	-1.83968	1.839684
488	-35.3662	-32.7968	-2.56941	2.569407
489	-34.4269	-32.7968	-1.63009	1.63009
490	-34.6095	-32.7968	-1.81271	1.812706
491	-33.0192	-32.7968	-0.222375	0.2223748
492	-33.0192	-32.7968	-0.222375	0.2223748
493	-33.0115	-32.7968	-0.214693	0.2146935
494	-33.2782	-32.7968	-0.481462	0.4814625
495	-34.042	-32.7968	-1.24517	1.245173
496	-36.896	-32.7968	-4.09922	4.099224
497	-34.7793	-32.7968	-1.98247	1.982471
498	-33.4523	-32.7968	-0.655542	0.655542
499	-33.1111	-32.7968	-0.314278	0.314278
500	-33.5993	-32.7968	-0.802515	0.8025153
501	-34.8069	-32.7968	-2.01008	2.010079
502	-35.438	-32.7968	-2.64124	2.641239
503	-33.4443	-32.7968	-0.647483	0.6474829
504	-33.7297	-32.7968	-0.932871	0.9328714
505	-33.0585	-32.7968	-0.261737	0.2617372
506	-33.0942	-32.7968	-0.297453	0.2974529
507	-33.1286	-32.7968	-0.331861	0.3318615
508	-33.8313	-32.7968	-1.03449	1.034493
509	-33.8022	-32.7968	-1.00543	1.00543
510	-33.8022	-32.7968	-1.00543	1.00543
511	-34.1111	-32.7968	-1.3143	1.314299
512	-33.4835	-32.7968	-0.686673	0.6866728
513	-33.1609	-32.7968	-0.36409	0.3640898
514	-33.2368	-32.7968	-0.440061	0.4400612
515	-33.8809	-32.7968	-1.08409	1.084094
516	-33.2391	-32.7968	-0.442352	0.4423523
517	-33.2391	-32.7968	-0.442352	0.4423523
518	-33.0978	-32.7968	-0.301049	0.3010489
519	-33.8244	-32.7968	-1.02766	1.027657
520	-35.5467	-32.7968	-2.74992	2.749918
521	-35.7595	-32.7968	-2.96276	2.962762
522	-38.5188	-32.7968	-5.72202	5.722018
523	-36.2145	-32.7968	-3.41776	3.41776
524	-37.0225	-32.7968	-4.22571	4.225709
525	-35.7114	-32.7968	-2.91464	2.91464
526	-33.4925	-32.7968	-0.695705	0.6957053
527	-33.1102	-32.7968	-0.313412	0.3134121
528	-32.9068	-32.7968	-0.110059	0.1100586
529	-32.8995	-32.7968	-0.102734	0.1027342
530	-33.0004	-32.7968	-0.20358	0.2035795
531	-32.8766	-32.7968	-0.0797859	0.07978585
532	-32.8154	-32.7968	-0.018574	0.01857398
533	-33.0102	-32.7968	-0.213389	0.2133892
534	-33.6859	-32.7968	-0.889164	0.8891643
535	-35.0737	-32.7968	-2.27688	2.276876
536	-33.3707	-32.7968	-0.573913	0.5739132
537	-33.3739	-32.7968	-0.577116	0.5771162
538	-34.1966	-32.7968	-1.39978	1.399784
539	-33.7141	-32.7968	-0.917294	0.9172935
540	-34.8467	-32.7968	-2.0499	2.049902
541	-33.883	-32.7968	-1.08624	1.086239
542	-34.6312	-32.7968	-1.83438	1.834384
543	-33.7549	-32.7968	-0.9581	0.9581005
