Iteration	Posterior	Likelihood	Prior	cw	lb	to
234	-32.6835	-30.4826	-2.20082	1.00426	0.5019034	0.6946544
235	-33.6559	-30.5263	-3.12963	1.057032	0.6968424	1.375754
236	-32.3738	-30.2604	-2.11342	1.059381	0.2972311	0.7568099
237	-32.0068	-30.3856	-1.62124	0.8071363	0.2972311	0.5168695
238	-32.1344	-30.3436	-1.79079	0.6939681	0.2283951	0.868429
239	-32.2356	-30.4348	-1.80082	0.6394271	0.2523205	0.9090763
240	-32.1641	-30.8981	-1.26603	0.6394271	0.3188987	0.3076997
241	-31.9704	-30.3547	-1.61568	0.7538065	0.3150283	0.5468423
242	-31.6807	-30.2829	-1.39778	0.682639	0.225215	0.4899256
243	-32.0082	-30.8107	-1.19753	0.682639	0.2222394	0.2926522
244	-31.1948	-30.5469	-0.647906	0.2587693	0.1685575	0.2205789
245	-33.3152	-32.2677	-1.04747	0.1554232	0.3998476	0.492196
246	-32.3924	-31.584	-0.808328	0.1554232	0.1327171	0.5201878
247	-32.2707	-31.5719	-0.698766	0.1680158	0.2984583	0.2322919
248	-32.2991	-31.5958	-0.703215	0.1680158	0.3029071	0.2322919
249	-33.3884	-32.7039	-0.684573	0.1680158	0.3861378	0.1304191
250	-32.3811	-31.8207	-0.560343	0.1680158	0.2619079	0.1304191
251	-32.585	-31.8694	-0.715602	0.1691284	0.3418471	0.2046267
252	-32.0798	-31.2955	-0.784368	0.2717256	0.3080161	0.2046267
253	-31.6548	-31.085	-0.569806	0.2574326	0.1770052	0.1353684
254	-32.5789	-31.9559	-0.622989	0.1138832	0.264258	0.2448483
255	-31.282	-30.7619	-0.520084	0.1637584	0.1507453	0.2055799
256	-30.8048	-30.3769	-0.427913	0.1637584	0.0868327	0.1773223
257	-32.6725	-31.5754	-1.09711	0.6324198	0.2645818	0.2001068
258	-33.5588	-32.2147	-1.34408	0.8332843	0.3106927	0.2001068
259	-32.5689	-30.962	-1.60689	1.033679	0.1934547	0.3797542
260	-31.3578	-30.2884	-1.06937	0.5662925	0.1233188	0.3797542
261	-31.813	-30.9871	-0.825838	0.2422763	0.2773662	0.3061952
262	-31.5634	-30.5745	-0.98888	0.4309958	0.2516891	0.3061952
263	-32.3283	-31.0268	-1.3015	0.8584034	0.1368983	0.3061952
264	-31.7226	-30.2762	-1.4464	0.6904591	0.135004	0.6209335
265	-32.0732	-30.3425	-1.73063	0.7398903	0.3520136	0.6387244
266	-33.259	-30.4043	-2.85471	1.384814	0.1941223	1.275769
267	-34.7277	-31.3441	-3.38353	1.24243	0.09732599	2.043771
268	-32.8681	-31.3435	-1.52458	1.00568	0.04039085	0.4785045
269	-32.7607	-31.1281	-1.63259	0.9539988	0.04039085	0.638198
270	-32.8001	-30.6994	-2.10065	1.298042	0.1234125	0.6791956
271	-33.8052	-31.6165	-2.18875	0.6298979	0.07964652	1.47921
272	-35.0987	-31.526	-3.57271	1.000897	0.1559953	2.415817
273	-32.838	-30.3401	-2.49787	1.372202	0.241356	0.8843171
274	-32.8519	-30.3183	-2.53364	1.372202	0.2898305	0.8716068
275	-32.7746	-30.3987	-2.37586	1.346557	0.2614557	0.7678507
276	-32.7034	-30.2542	-2.44924	1.063757	0.4008818	0.9845975
277	-34.8995	-30.9422	-3.95725	1.049401	0.5500647	2.357786
