Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl	cw	ht	lb	lo	ol	ot	th	to	tw	wc	wt
98	0	-42.7598	-31.2773	-11.4825	0.6230773	0.6678096	1.733081	1.56579	0.7283944	1.828355	0.5581516	0.768228	0.1662937	0.4404998	1.01178	1.391001
99	1	-52.3393	-33.3335	-19.0058	1.139773	0.4046588	0.7125619	0.7842111	0.052834	3.781191	2.002565	1.151746	4.833128	0.1347517	3.904135	0.104216
100	0	-42.0131	-30.4563	-11.5567	0.6704477	0.6678096	0.8829101	1.187955	1.024052	2.316632	0.4468376	0.9934038	0.207382	1.099689	1.01178	1.047849
101	1	-51.3944	-33.8448	-17.5496	1.216257	0.6435139	0.6156662	0.7842111	0.02476556	2.850878	1.790491	1.898502	3.631896	0.08732967	3.904135	0.1019617
102	0	-43.4534	-31.4594	-11.994	0.6704477	0.4066082	1.76956	1.919328	0.6965339	1.492145	0.2881134	1.481791	0.1776373	1.497317	0.6049191	0.989579
103	1	-49.4094	-33.0059	-16.4035	1.178301	0.5312992	0.5274647	0.6408444	0.03298644	2.533384	1.173348	2.439481	2.242811	0.2006926	4.800927	0.1019617
104	0	-44.5866	-32.5687	-12.0179	0.8251327	0.1100919	0.9587522	1.919328	0.7562918	0.881809	0.2664083	1.977549	0.1152301	1.497317	0.3881102	2.321877
105	1	-52.1643	-34.7449	-17.4194	0.9852226	0.3917156	1.185961	0.5567467	0.02163434	2.533384	1.921283	3.80758	0.77929	0.2753847	4.800927	0.1603133
106	0	-45.153	-32.4897	-12.6633	1.121047	0.08201172	0.9841615	1.919328	0.7562918	0.7234666	0.4691796	1.977549	0.1667762	1.497317	0.4186311	2.547551
107	1	-50.3336	-33.8411	-16.4924	1.433367	0.3917156	1.726736	0.3741117	0.0302366	2.533384	1.367798	3.80758	0.5386199	0.1805419	3.795348	0.3129787
108	0	-47.4996	-32.5917	-14.908	1.71327	0.104004	1.06893	1.584833	0.799304	0.7598798	0.9484773	2.937233	0.3602002	1.497317	0.4186311	2.715908
109	1	-46.5835	-33.4736	-13.1098	0.9846474	0.5224304	1.302797	0.3329271	0.03513243	2.283684	1.384527	2.649653	0.5386199	0.141631	2.642204	0.2915907
110	0	-49.3857	-32.9045	-16.4812	2.380005	0.1248442	1.06893	1.584833	0.799304	0.7740013	0.4179086	2.299904	0.4038654	1.81527	0.3871464	4.425237
111	1	-44.1853	-32.6773	-11.508	1.590912	0.3539658	0.9242944	0.4001668	0.0516515	0.9175477	1.384527	2.337415	0.5129678	0.2048503	2.392662	0.4370546
112	0	-51.9586	-34.0701	-17.8885	2.380005	0.1351239	1.127873	2.018568	0.8062406	0.5650089	0.3486497	2.106549	0.4066741	1.438206	0.3871464	6.168447
113	1	-44.5549	-34.0111	-10.5438	1.901913	0.3506612	0.573547	0.4339267	0.03495084	0.7057239	1.683805	2.130978	0.3493016	0.2414753	1.477189	0.6603583
114	0	-53.7058	-34.9947	-18.7111	1.911665	0.1351239	1.807296	2.359397	1.112163	0.4945543	1.40036	2.106549	0.6894908	1.438206	0.3122717	4.944074
115	1	-45.0379	-33.4499	-11.588	1.799059	0.2281865	0.8516018	0.4893314	0.0454425	0.7797848	1.368598	2.518411	0.2672217	0.2414753	1.993452	1.005437
116	0	-49.6959	-33.0735	-16.6224	0.9446221	0.08621988	1.850891	1.306898	0.8726534	0.6340146	1.537961	2.106549	0.9682395	2.087914	0.3543509	3.872062
117	1	-44.7369	-33.6351	-11.1018	1.799059	0.4606371	0.9324267	0.4607305	0.06100317	0.9049328	0.7208577	2.895595	0.1961181	0.2017263	1.463276	1.005437
118	0	-49.9622	-34.5947	-15.3674	0.9446221	0.08473862	2.677032	0.9168819	0.8731454	0.5530398	1.537961	1.323194	0.9682395	2.377618	0.1527721	2.958177
119	1	-45.5488	-33.1195	-12.4293	1.788034	0.6741731	0.8160518	0.4607305	0.0686936	1.618283	0.5651582	3.418229	0.1961181	0.244456	1.698266	0.8811419
120	0	-46.5854	-33.553	-13.0324	0.812043	0.07518454	1.717613	0.7305507	0.8731454	0.5530398	1.482964	1.323194	0.9682395	3.071895	0.1141615	1.310401
121	1	-45.1994	-32.8427	-12.3567	1.128745	0.9764099	0.8351416	0.4482508	0.06118191	1.144287	0.7813665	3.418229	0.1961181	0.4196415	1.698266	1.249033
122	0	-41.919	-32.5355	-9.38354	0.6630746	0.07518454	0.566903	0.657371	0.8982744	0.5464721	1.181624	0.6219817	1.207152	1.845469	0.106731	1.013306
123	1	-44.133	-32.6146	-11.5184	1.099788	0.62144	1.181423	0.9685733	0.06189465	1.144287	0.7292544	3.073731	0.361131	0.646485	0.8546275	0.7758093
124	0	-42.794	-32.1349	-10.6591	0.8514005	0.09694973	0.9875899	0.6679865	1.083062	0.4515234	1.119934	0.6579244	1.411259	2.258451	0.1936331	0.8794125
125	1	-43.0463	-32.0056	-11.0407	1.050626	0.6641439	1.189639	1.016709	0.07990401	1.144287	0.9930495	2.211522	0.6166988	0.4037341	1.174043	0.4963562
126	0	-41.134	-31.2651	-9.86886	0.9433676	0.09694973	0.9875899	0.3961172	0.746517	0.4515234	1.16297	0.5455641	1.946742	1.821383	0.2625815	0.507556
127	1	-48.3918	-35.2646	-13.1272	1.514459	0.5251104	1.189639	2.118889	0.08243336	0.5197917	2.047509	2.410655	0.7719606	0.3408914	1.159032	0.4468712
128	0	-41.4877	-32.2557	-9.23197	0.9433676	0.08001481	0.9875899	0.3904167	0.5292332	0.2976423	1.193407	0.3166498	1.661359	1.821383	0.5033559	0.507556
129	1	-50.5003	-36.434	-14.0664	2.301035	0.3575193	0.9179928	2.733211	0.06939528	0.5413659	2.197612	1.449391	1.108619	0.3408914	1.16609	0.8832614
130	0	-42.578	-32.0189	-10.5591	0.7226202	0.1220072	0.9479487	0.3904167	0.3620336	0.5373418	1.193407	0.2205679	3.468578	1.821383	0.2776813	0.4951544
131	1	-46.2595	-33.61	-12.6495	2.483838	0.3575193	0.8534389	1.930281	0.06939528	1.038512	1.5634	1.477997	0.8097193	0.4548806	1.204061	0.4064443
132	0	-41.39	-32.7116	-8.6784	0.5756613	0.143661	0.9479487	0.3251101	0.3620336	0.4863997	1.064022	0.363331	2.442667	1.19845	0.147562	0.6215547
133	1	-50.1149	-33.9899	-16.1251	2.483838	0.5764263	1.716873	1.930281	0.06617184	1.411146	2.330901	1.879735	1.196195	0.4548806	1.245918	0.8326934
134	0	-39.2875	-30.0827	-9.20479	0.5756613	0.1293432	1.212276	0.4108666	0.736822	0.6187103	0.5696583	0.2783436	2.442667	1.19845	0.4104351	0.6215547
135	1	-49.0881	-33.5884	-15.4997	0.8543894	0.7622723	2.15501	1.930281	0.04960142	1.895223	3.00162	1.125685	0.9248535	0.4548806	1.878172	0.4677419
136	0	-39.7949	-29.7314	-10.0635	0.5756613	0.0827083	1.63596	0.2278344	0.736822	0.6187103	0.5913068	0.3768319	2.637918	1.54774	0.4104351	0.6215547
137	1	-50.1418	-35.1597	-14.9822	0.345372	0.8377839	1.953532	1.930281	0.07210171	2.126641	3.00162	0.8430591	0.7767987	0.4548806	2.172342	0.4677419
138	0	-38.985	-29.7986	-9.18639	0.851843	0.09183187	1.184872	0.2278344	0.9370239	0.4556143	0.550359	0.5664169	1.637606	1.214243	0.8487414	0.6200063
139	1	-50.8786	-34.7594	-16.1191	0.345372	0.8377839	2.193951	1.504325	0.08652585	2.668645	3.393602	0.8615426	0.8794309	0.5151708	2.172342	0.6604473
140	0	-39.7648	-31.7219	-8.04289	0.5679651	0.0434393	1.074483	0.1898212	0.4837913	0.5200675	0.844409	0.6849195	1.637606	1.214243	0.4746113	0.3075362
141	1	-44.9001	-32.8563	-12.0438	0.345372	0.7324954	1.080643	1.056131	0.08169505	1.834312	2.344329	0.8615426	0.8794309	0.49886	1.631872	0.6971335
142	0	-38.9109	-30.9784	-7.93254	1.031564	0.05148891	0.9326716	0.107008	0.4837913	0.5744041	0.5766108	0.754441	1.390961	1.214243	0.4746113	0.3407473
143	1	-43.6274	-31.7173	-11.9102	0.4411295	1.144344	1.080643	1.006188	0.1097494	2.107849	1.662727	1.145878	0.8794309	0.759378	1.001587	0.5712643
144	0	-36.2455	-29.4852	-6.76029	0.6923359	0.05148891	0.5359276	0.3550553	0.3529158	0.5744041	0.3880271	0.603445	0.981396	1.214243	0.41166	0.5993897
145	1	-41.3856	-31.3111	-10.0745	0.460406	1.068421	1.080643	1.227107	0.1110835	1.417224	0.9935368	1.145878	0.8245628	0.4379196	0.9414015	0.3662899
146	0	-38.2326	-29.7138	-8.5188	0.6923359	0.05213228	0.7767757	0.1266645	0.3434149	1.215707	0.3880271	0.603445	2.186164	1.214243	0.4780899	0.4418017
147	1	-46.1462	-32.9656	-13.1806	0.460406	1.493344	1.066474	1.880466	0.1110835	1.417224	1.63269	2.830468	0.8245628	0.4941019	0.7269249	0.2428904
148	0	-38.5826	-29.9521	-8.63048	0.8436979	0.03826885	0.5269434	0.08028199	0.315566	1.072372	0.3749975	0.4480882	2.999431	0.8085518	0.4236995	0.6985863
149	1	-47.1137	-32.2131	-14.9006	0.8893179	2.610741	0.9961162	1.880466	0.1260451	2.178785	1.173615	2.37996	1.023752	0.5884748	0.7269249	0.3264059
150	0	-40.3139	-30.3758	-9.93817	0.8436979	0.03826885	1.092724	0.07059304	0.315566	0.8143687	0.4799272	0.4480882	3.963388	0.5617064	0.5911234	0.7187211
151	1	-45.7509	-31.6802	-14.0707	0.7428007	2.643537	0.9961162	1.880466	0.3058058	1.201684	1.215844	2.37996	0.9064658	0.798977	0.7269249	0.2721011
152	0	-45.0032	-30.1585	-14.8447	0.7813344	0.03373156	2.793612	0.08191066	0.5680086	1.407693	0.5368148	0.6184718	5.427009	1.052512	0.6158541	0.9277411
