Measurement	Specimen	Species	Stage	Zooid length (mm)	Number of zooids	Colony volume (ml)	Container 	Treatment	Activity level	In-jar velocity (m/s)	Date	Experiment	Time point (min)	Sensor ID	O2 (mg/L)	Temperature (°C)	Organism notes	Measurement notes	Container volume (ml)	Injection time	Start time
716	D31-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	13	16	2.8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	90	P2	6.08	24.6	Very long peduncles	Only 1/2 colony was measured for volume, then multiplied by 2 	208		
717	D31-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	13	16	2.8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	120	P2	6.08	24	Very long peduncles	Only 1/2 colony was measured for volume, then multiplied by 2 	208		
718	D31-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	13	16	2.8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	150	P2	5.98	23.8	Very long peduncles	Only 1/2 colony was measured for volume, then multiplied by 2 	208		
719	D31-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	13	16	2.8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	180	P2	5.99	23.3	Very long peduncles	Only 1/2 colony was measured for volume, then multiplied by 2 	208		
720	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		6/30/2022	18	0	P3 control	6.34	26.3	Control local seawater	High consumption readings	72	21:42	21:44
721	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		6/30/2022	18	30	P3 control	6.26	25.7	Control local seawater	High consumption readings	72		
722	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		6/30/2022	18	60	P3 control	6.19	25.4	Control local seawater	High consumption readings	72		
723	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		6/30/2022	18	90	P3 control	6.25	24.6	Control local seawater	High consumption readings	72		
724	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		6/30/2022	18	120	P3 control	6.22	24	Control local seawater	High consumption readings	72		
725	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		6/30/2022	18	150	P3 control	6.2	23.8	Control local seawater	High consumption readings	72		
726	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		6/30/2022	18	180	P3 control	6.26	23.3	Control local seawater	High consumption readings	72		
727	D31-Caff-B-2	Cyclosalpa affinis	Blastozooid	32	6	8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	0	P4	5.86	26.3	Poop		208	21:39	21:44
728	D31-Caff-B-2	Cyclosalpa affinis	Blastozooid	32	6	8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	30	P4	5.59	25.7	Poop		208		
729	D31-Caff-B-2	Cyclosalpa affinis	Blastozooid	32	6	8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	60	P4	5.6	25.4	Poop		208		
730	D31-Caff-B-2	Cyclosalpa affinis	Blastozooid	32	6	8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	90	P4	5.443	24.6	Poop		208		
731	D31-Caff-B-2	Cyclosalpa affinis	Blastozooid	32	6	8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	120	P4	5.26	24	Poop		208		
732	D31-Caff-B-2	Cyclosalpa affinis	Blastozooid	32	6	8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	150	P4	5.27	23.8	Poop		208		
733	D31-Caff-B-2	Cyclosalpa affinis	Blastozooid	32	6	8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	180	P4	5.21	23.3	Poop		208		
734	D31-Bros-B-1	Brooksia rostrata	Blastozooid	3	7	0.1	Plastic	Intact	Moderate		6/30/2022	18	0	P5	6.31	26.3		Low consumption readings	208		21:44
735	D31-Bros-B-1	Brooksia rostrata	Blastozooid	3	7	0.1	Plastic	Intact	Moderate		6/30/2022	18	30	P5	6.29	25.7		Low consumption readings	208		
736	D31-Bros-B-1	Brooksia rostrata	Blastozooid	3	7	0.1	Plastic	Intact	Moderate		6/30/2022	18	60	P5	6.29	25.4		Low consumption readings	208		
737	D31-Bros-B-1	Brooksia rostrata	Blastozooid	3	7	0.1	Plastic	Intact	Moderate		6/30/2022	18	90	P5	6.34	24.6		Low consumption readings	208		
738	D31-Bros-B-1	Brooksia rostrata	Blastozooid	3	7	0.1	Plastic	Intact	Moderate		6/30/2022	18	120	P5	6.35	24		Low consumption readings	208		
739	D31-Bros-B-1	Brooksia rostrata	Blastozooid	3	7	0.1	Plastic	Intact	Moderate		6/30/2022	18	150	P5	6.32	23.8		Low consumption readings	208		
740	D31-Bros-B-1	Brooksia rostrata	Blastozooid	3	7	0.1	Plastic	Intact	Moderate		6/30/2022	18	180	P5	6.34	23.3		Low consumption readings	208		
741	D31-Pcon-B-2	Pegea confoederata	Blastozooid	41	3	9	Plastic	Intact	Moderate		6/30/2022	18	0	P6	6.23	26.3			980		21:44
742	D31-Pcon-B-2	Pegea confoederata	Blastozooid	41	3	9	Plastic	Intact	Moderate		6/30/2022	18	30	P6	6.2	25.7			980		
743	D31-Pcon-B-2	Pegea confoederata	Blastozooid	41	3	9	Plastic	Intact	Moderate		6/30/2022	18	60	P6	6.17	25.4			980		
744	D31-Pcon-B-2	Pegea confoederata	Blastozooid	41	3	9	Plastic	Intact	Moderate		6/30/2022	18	90	P6	6.17	24.6			980		
745	D31-Pcon-B-2	Pegea confoederata	Blastozooid	41	3	9	Plastic	Intact	Moderate		6/30/2022	18	120	P6	6.14	24			980		
746	D31-Pcon-B-2	Pegea confoederata	Blastozooid	41	3	9	Plastic	Intact	Moderate		6/30/2022	18	150	P6	6.05	23.8			980		
747	D31-Pcon-B-2	Pegea confoederata	Blastozooid	41	3	9	Plastic	Intact	Moderate		6/30/2022	18	180	P6	6.01	23.3			980		
748	D31-Smax-B-2	Salpa maxima	Blastozooid	80	3	20	Plastic	Intact	Moderate		6/30/2022	18	0	P7	6.01	26.3	Poop, all zooids broken off		980		21:44
749	D31-Smax-B-2	Salpa maxima	Blastozooid	80	3	20	Plastic	Intact	Moderate		6/30/2022	18	30	P7	5.85	25.7	Poop, all zooids broken off		980		
750	D31-Smax-B-2	Salpa maxima	Blastozooid	80	3	20	Plastic	Intact	Moderate		6/30/2022	18	60	P7	5.68	25.4	Poop, all zooids broken off		980		
751	D31-Smax-B-2	Salpa maxima	Blastozooid	80	3	20	Plastic	Intact	Moderate		6/30/2022	18	90	P7	5.61	24.6	Poop, all zooids broken off		980		
752	D31-Smax-B-2	Salpa maxima	Blastozooid	80	3	20	Plastic	Intact	Moderate		6/30/2022	18	120	P7	5.47	24	Poop, all zooids broken off		980		
753	D31-Smax-B-2	Salpa maxima	Blastozooid	80	3	20	Plastic	Intact	Moderate		6/30/2022	18	150	P7	5.33	23.8	Poop, all zooids broken off		980		
754	D31-Smax-B-2	Salpa maxima	Blastozooid	80	3	20	Plastic	Intact	Moderate		6/30/2022	18	180	P7	5.22	23.3	Poop, all zooids broken off		980		
755	D32-Sasp-B-1	Salpa aspera	Blastozooid	28	9	6	Plastic	Anesthetized	Anesthetized		7/1/2022	19	0	P1	5.3	26.5			208	20:53	21:00
756	D32-Sasp-B-1	Salpa aspera	Blastozooid	28	9	6	Plastic	Anesthetized	Anesthetized		7/1/2022	19	30	P1	5.23	26.2		Temperature interpolated, not measured	208		
757	D32-Sasp-B-1	Salpa aspera	Blastozooid	28	9	6	Plastic	Anesthetized	Anesthetized		7/1/2022	19	60	P1	5.01	25.9			208		
758	D32-Sasp-B-1	Salpa aspera	Blastozooid	28	9	6	Plastic	Anesthetized	Anesthetized		7/1/2022	19	90	P1	4.86	25.1			208		
759	D32-Sasp-B-1	Salpa aspera	Blastozooid	28	9	6	Plastic	Anesthetized	Anesthetized		7/1/2022	19	120	P1	4.68	24.3			208		
760	D32-Sasp-B-1	Salpa aspera	Blastozooid	28	9	6	Plastic	Anesthetized	Anesthetized		7/1/2022	19	150	P1	4.5	23.8			208		
761	D32-Sasp-B-1	Salpa aspera	Blastozooid	28	9	6	Plastic	Anesthetized	Anesthetized		7/1/2022	19	180	P1	4.49	23.4			208		
762	D32-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	6	26	0.1	Plastic	Anesthetized	Anesthetized		7/1/2022	19	0	P2	6.22	26.5	yellowtail		208	20:54	21:00
763	D32-Icyl-B-2	Iasis (Weelia) cylindrica	Blastozooid	6	26	0.1	Plastic	Anesthetized	Anesthetized		7/1/2022	19	30	P2	6.28	26.2	yellowtail	Temperature interpolated, not measured	208		
764	D32-Icyl-B-3	Iasis (Weelia) cylindrica	Blastozooid	6	26	0.1	Plastic	Anesthetized	Anesthetized		7/1/2022	19	60	P2	6.28	25.9	yellowtail		208		
765	D32-Icyl-B-4	Iasis (Weelia) cylindrica	Blastozooid	6	26	0.1	Plastic	Anesthetized	Anesthetized		7/1/2022	19	90	P2	6.27	25.1	yellowtail		208		
766	D32-Icyl-B-5	Iasis (Weelia) cylindrica	Blastozooid	6	26	0.1	Plastic	Anesthetized	Anesthetized		7/1/2022	19	120	P2	6.34	24.3	yellowtail		208		
767	D32-Icyl-B-6	Iasis (Weelia) cylindrica	Blastozooid	6	26	0.1	Plastic	Anesthetized	Anesthetized		7/1/2022	19	150	P2	6.35	23.8	yellowtail		208		
768	D32-Icyl-B-7	Iasis (Weelia) cylindrica	Blastozooid	6	26	0.1	Plastic	Anesthetized	Anesthetized		7/1/2022	19	180	P2	6.33	23.4	yellowtail		208		
769	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		7/1/2022	19	0	P3 control	6.31	26.5			72		21:00
770	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		7/1/2022	19	30	P3 control	6.35	26.2		Temperature interpolated, not measured	72		
771	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		7/1/2022	19	60	P3 control	6.34	25.9			72		
772	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		7/1/2022	19	90	P3 control	6.43	25.1			72		
773	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		7/1/2022	19	120	P3 control	6.44	24.3			72		
774	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		7/1/2022	19	150	P3 control	6.46	23.8			72		
775	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		7/1/2022	19	180	P3 control	6.47	23.4			72		
776	D32-Icyl-B2	Iasis (Weelia) cylindrica	Blastozooid	7	76	0.5	Plastic	Intact	Active		7/1/2022	19	0	P4	5.99	26.5	yellowtail, many broken		208		21:00
777	D32-Icyl-B2	Iasis (Weelia) cylindrica	Blastozooid	7	76	0.5	Plastic	Intact	Active		7/1/2022	19	30	P4	5.87	26.2	yellowtail, many broken	Temperature interpolated, not measured	208		
778	D32-Icyl-B2	Iasis (Weelia) cylindrica	Blastozooid	7	76	0.5	Plastic	Intact	Active		7/1/2022	19	60	P4	5.71	25.9	yellowtail, many broken		208		
779	D32-Icyl-B2	Iasis (Weelia) cylindrica	Blastozooid	7	76	0.5	Plastic	Intact	Active		7/1/2022	19	90	P4	5.56	25.1	yellowtail, many broken		208		
780	D32-Icyl-B2	Iasis (Weelia) cylindrica	Blastozooid	7	76	0.5	Plastic	Intact	Active		7/1/2022	19	120	P4	5.49	24.3	yellowtail, many broken		208		
781	D32-Icyl-B2	Iasis (Weelia) cylindrica	Blastozooid	7	76	0.5	Plastic	Intact	Active		7/1/2022	19	150	P4	5.47	23.8	yellowtail, many broken		208		
782	D32-Icyl-B2	Iasis (Weelia) cylindrica	Blastozooid	7	76	0.5	Plastic	Intact	Active		7/1/2022	19	180	P4	5.47	23.4	yellowtail, many broken		208		
783	D32-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	5	1.3	Plastic	Anesthetized	Anesthetized		7/1/2022	19	0	P5	6.29	26.5	2 zooids broke		208	20:56	21:00
784	D32-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	5	1.3	Plastic	Anesthetized	Anesthetized		7/1/2022	19	30	P5	6.35	26.2	2 zooids broke	Temperature interpolated, not measured	208		
785	D32-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	5	1.3	Plastic	Anesthetized	Anesthetized		7/1/2022	19	60	P5	6.34	25.9	2 zooids broke		208		
786	D32-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	5	1.3	Plastic	Anesthetized	Anesthetized		7/1/2022	19	90	P5	6.36	25.1	2 zooids broke		208		
787	D32-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	5	1.3	Plastic	Anesthetized	Anesthetized		7/1/2022	19	120	P5	6.44	24.3	2 zooids broke		208		
788	D32-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	5	1.3	Plastic	Anesthetized	Anesthetized		7/1/2022	19	150	P5	6.44	23.8	2 zooids broke		208		
789	D32-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	5	1.3	Plastic	Anesthetized	Anesthetized		7/1/2022	19	180	P5	6.46	23.4	2 zooids broke		208		
790	D32-Cpol-B-1	Cyclosalpa polae	Blastozooid	28	13	6	Plastic	Intact	Low		7/1/2022	19	0	P6	6.3	26.5	1 zooid broke		980		
791	D32-Cpol-B-1	Cyclosalpa polae	Blastozooid	28	13	6	Plastic	Intact	Low		7/1/2022	19	30	P6	6.2	26.2	1 zooid broke	Temperature interpolated, not measured	980		
792	D32-Cpol-B-1	Cyclosalpa polae	Blastozooid	28	13	6	Plastic	Intact	Low		7/1/2022	19	60	P6	6.16	25.9	1 zooid broke		980		
793	D32-Cpol-B-1	Cyclosalpa polae	Blastozooid	28	13	6	Plastic	Intact	Low		7/1/2022	19	90	P6	6.13	25.1	1 zooid broke		980		
794	D32-Cpol-B-1	Cyclosalpa polae	Blastozooid	28	13	6	Plastic	Intact	Low		7/1/2022	19	120	P6	6.16	24.3	1 zooid broke		980		
795	D32-Cpol-B-1	Cyclosalpa polae	Blastozooid	28	13	6	Plastic	Intact	Low		7/1/2022	19	150	P6	6.14	23.8	1 zooid broke		980		
796	D32-Cpol-B-1	Cyclosalpa polae	Blastozooid	28	13	6	Plastic	Intact	Low		7/1/2022	19	180	P6	6.07	23.4	1 zooid broke		980		
797	D32-Rsp-B-1	Ritteriella sp.	Blastozooid	30	55	34	Plastic	Intact	Moderate		7/1/2022	19	0	P7	5.01	26.5	many amphipods		980		21:00
798	D32-Rsp-B-1	Ritteriella sp.	Blastozooid	30	55	34	Plastic	Intact	Moderate		7/1/2022	19	30	P7	4.47	26.2	many amphipods	Temperature interpolated, not measured	980		
799	D32-Rsp-B-1	Ritteriella sp.	Blastozooid	30	55	34	Plastic	Intact	Moderate		7/1/2022	19	60	P7	3.98	25.9	many amphipods		980		
800	D32-Rsp-B-1	Ritteriella sp.	Blastozooid	30	55	34	Plastic	Intact	Moderate		7/1/2022	19	90	P7	3.58	25.1	many amphipods		980		
801	D32-Rsp-B-1	Ritteriella sp.	Blastozooid	30	55	34	Plastic	Intact	Moderate		7/1/2022	19	120	P7	3.12	24.3	many amphipods		980		
802	D32-Rsp-B-1	Ritteriella sp.	Blastozooid	30	55	34	Plastic	Intact	Moderate		7/1/2022	19	150	P7	2.91	23.8	many amphipods		980		
803	D32-Rsp-B-1	Ritteriella sp.	Blastozooid	30	55	34	Plastic	Intact	Moderate		7/1/2022	19	180	P7	2.02	23.4	many amphipods		980		
