Filename	File.type	Source	Authorship	Species	Stage	Specimen_type	Specimen	Architecture	Orientation	Trait	State	Notes
KonaJJ22-046	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	OAnormal	Zooid.width..mm.	6.38	
KonaJJ22-046	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	OAnormal	Zooid.width..mm.	7.63	
KonaJJ22-046	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	OAnormal	Zooid.length..mm.	13.02	
KonaJJ22-046	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	OAnormal	Zooid.length..mm.	13.88	
KonaJJ22-046	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	OAnormal	Zooid.length..mm.	13.77	
KonaJJ22-078	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	OAnormal	Zooid.number	6	
KonaJJ22-078	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	OAnormal	Cross.sectional.area..mm2.	179.45	
KonaJJ22-078	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	OAnormal	Colony.diameter..mm.	20.66	motion orthogonal
KonaJJ22-078	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	OAnormal	Colony.diameter..mm.	11.37	motion orthogonal
KonaJJ22-078	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	OAnormal	Colony.diameter..mm.	15.62	motion orthogonal
KonaJJ22-078	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	OAnormal	Zooid.width..mm.	5.99	
KonaJJ22-078	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	OAnormal	Zooid.width..mm.	5.85	
KonaJJ22-078	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	OAnormal	Zooid.width..mm.	5.87	
KonaJJ22-081	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	DVnormal	Colony.length.mm.	10.62	motion orthogonal
KonaJJ22-081	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	DVnormal	Zooid.length..mm.	10.3	
KonaJJ22-081	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	DVnormal	Zooid.length..mm.	10.15	
KonaJJ22-081	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	Aggs	FreshLabTecto	D27-Psp-B-1	Transversal	DVnormal	Zooid.length..mm.	10.04	
KonaJJ22-108	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	OAnormal	Zooid.number	6	one of them much smaller than the rest
KonaJJ22-108	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	OAnormal	Cross.sectional.area..mm2.	373.07	
KonaJJ22-108	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	OAnormal	Colony.diameter..mm.	21.57	
KonaJJ22-108	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	OAnormal	Colony.diameter..mm.	23.87	
KonaJJ22-108	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	OAnormal	Colony.diameter..mm.	22.49	
KonaJJ22-108	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	OAnormal	Zooid.width..mm.	10.26	
KonaJJ22-108	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	OAnormal	Zooid.width..mm.	6.7	
KonaJJ22-108	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	OAnormal	Zooid.width..mm.	9.97	
KonaJJ22-109	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	DVnormal	Zooid.length..mm.	14.6	
KonaJJ22-109	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	DVnormal	Zooid.length..mm.	14.03	
KonaJJ22-109	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	DVnormal	Zooid.length..mm.	13.99	
KonaJJ22-109	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	Aggs	FreshLabTecto	D28-Csew-B-1	Cluster	DVnormal	Colony.length..mm.	19.63	
KonaJJ22-113	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	OAnormal	Zooid.number	8	5 on one side, 3 o the other, 2 missing zooids
KonaJJ22-113	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	OAnormal	Colony.length.mm.	29.19	scale from KonaJ22-114
KonaJJ22-121	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	Stolonormal	Cross.sectional.area..mm2.	34.21	scale from KonaJ22-114
KonaJJ22-113	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	OAnormal	Colony.diameter..mm.	12.08	scale from KonaJ22-114
KonaJJ22-113	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	OAnormal	Colony.diameter..mm.	12.72	scale from KonaJ22-114
KonaJJ22-113	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	OAnormal	Colony.diameter..mm.	12.78	scale from KonaJ22-114
KonaJJ22-113	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	OAnormal	Zooid.width..mm.	5.25	scale from KonaJ22-114
KonaJJ22-113	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	OAnormal	Zooid.width..mm.	5.78	scale from KonaJ22-114
KonaJJ22-113	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	OAnormal	Zooid.width..mm.	5.03	scale from KonaJ22-114
KonaJJ22-113	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	OAnormal	Zooid.length..mm.	6.98	scale from KonaJ22-114
KonaJJ22-113	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	OAnormal	Zooid.length..mm.	7.9	scale from KonaJ22-114
KonaJJ22-113	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	Aggs	FreshLabTecto	D28-Bros-B-1	Bipinnate	OAnormal	Zooid.length..mm.	7.21	scale from KonaJ22-114
KonaJJ22-143	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	Aggs	FreshLabTecto	D29-Smax-B-1	Linear	OAnormal	Zooid.number	2	
KonaJJ22-143	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	Aggs	FreshLabTecto	D29-Smax-B-1	Linear	OAnormal	Colony.length.mm.	199.4	
KonaJJ22-147	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	Aggs	FreshLabTecto	D29-Smax-B-1	Linear	Stolonormal	Cross.sectional.area..mm2.	1091.65	
KonaJJ22-143	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	Aggs	FreshLabTecto	D29-Smax-B-1	Linear	OAnormal	Colony.diameter..mm.	56.46	
