Specimen	Species	Experiment	Date	Activity.level	Zooid.length..mm.	Number.of.zooids	Colony.volume..ml.	Container.volume..ml.	Organism.notes	Paired	Timespan	Temperature_range	Treatment	Gross respiration rate (mgO2/min)	Control rate (mgO2/min)	Net respiration rate (mgO2/min)	Biovolume-corrected gross respiration rate (pgO2/min/ml)	Biovolume-corrected net respiration rate (pgO2/min/ml)
D25-Cqua-B-1	Cyclosalpa quadriluminis	13	4/25/2022	Moderate	25	4	4	208		No	126	1.2	Intact	-0.000595271411338964	0.000254459187776433	-0.000849730599115397	-148.817852834741	-212.432649778849
D25-Pso-B-1	Pegea sp.	13	4/25/2022	Active	42	7	35	980		No	126	1.2	Intact	-0.00268544431041417	0.00175844390832328	-0.00444388821873744	-76.7269802975476	-126.96823482107
D25-Rsp-B-1	Ritteriella sp.	21	9/12/2022	Moderate	33	14	18.2	980		No	200	5.1	Intact	-0.00215600000000001	9.51428571428565e-05	-0.00225114285714286	-118.461538461539	-123.689167974883
D27-Pcon-B-1	Pegea sp.	14	6/26/2022	Anesthetized	28	2	3.5	208	Anesthetized	No	120	2	Anesthetized	-6.35209580838316e-05	3.69341317365276e-05	-0.000100455089820359	-18.148845166809	-28.7014542343884
D27-Ramb-B-1	Ritteriella amboinensis	14	6/26/2022	Moderate	28	10	3.5	208	With Vibilia amphipod	No	120	2	Intact	-8.55249500997952e-05	3.69341317365276e-05	-0.000122459081836323	-24.4357000285129	-34.9883090960922
D27-Ramb-B-2	Ritteriella amboinensis	14	6/26/2022	Moderate	15	5	2.5	208	One zooid broke off	No	120	2	Intact	-2.69860279441092e-05	3.69341317365276e-05	-6.39201596806368e-05	-10.7944111776437	-25.5680638722547
D27-Sasp-B-1	Salpa aspera	14	6/26/2022	Active	45	3	8	980	2 actively-swimming crustaceans got bycaught	No	120	2	Intact	0.00100347305389223	3.69341317365276e-05	0.000966538922155701	125.434131736529	120.817365269463
D27-Sasp-B-2	Salpa aspera	14	6/26/2022	Active	39	13	15.5	980	A few broke off	No	120	2	Intact	-0.00648051896207583	3.69341317365276e-05	-0.00651745309381236	-418.097997553279	-420.480844762088
D27-Sfus-B-1	Salpa fusiformis	14	6/26/2022	Moderate	15	5	1.6	208	Broke apart	No	120	2	Intact	-5.60479041916173e-05	3.69341317365276e-05	-9.2982035928145e-05	-35.0299401197608	-58.1137724550906
D28-Bros-B-1	Brooksia rostrata	15	6/27/2022	Anesthetized	8	9	0.45	208	One zooid broke off	No	150	1.7	Anesthetized	0.000124705346985215	7.78976109215031e-05	4.68077360637118e-05	277.122993300478	104.017191252693
D28-Csew-B-1	Cyclosalpa sewelli	15	6/27/2022	Anesthetized	12	10	2.4	208	A few broke off	No	150	1.7	Anesthetized	7.09897610921543e-06	7.78976109215031e-05	-7.07986348122877e-05	2.9579067121731	-29.4994311717865
D28-Csew-B-2	Cyclosalpa sewelli	15	6/27/2022	Anesthetized	8	16	2.5	208	A few broke off	No	150	1.7	Anesthetized	1.41979522184461e-06	7.78976109215031e-05	-7.64778156996585e-05	0.567918088737842	-30.5911262798634
D28-Sasp-B-1	Salpa aspera	15	6/27/2022	Active	20	10	3.3	208		No	150	1.7	Intact	-0.000644587030716724	7.78976109215031e-05	-0.000722484641638228	-195.329403247492	-218.934739890372
D28-Sasp-B-2	Salpa aspera	15	6/27/2022	Anesthetized	22	57	16.5	980	Half broke off	No	150	1.7	Anesthetized	-0.00151626848691695	7.78976109215031e-05	-0.00159416609783845	-91.8950598131484	-96.6161271417243
D28-Sfus-B1	Salpa fusiformis	15	6/27/2022	Active	12	19	1.8	980		No	150	1.7	Intact	0.000345620022753128	7.78976109215031e-05	0.000267722411831625	192.011123751738	148.734673239792
D29-Bros-B-1	Brooksia rostrata	16	6/28/2022	Active	6	8	0.23	208	Couple zooids broke off	Yes	120	2.2	Intact	7.62666666666706e-05	6.23999999999989e-05	1.38666666666717e-05	331.594202898568	60.2898550724857
D29-Bros-B-1	Brooksia rostrata	16	6/28/2022	Active	6	8	0.23	208	Couple zooids broke off	Yes	90	0.199999999999999	Anesthetized	-0.000166400000000001	-1.92000000000007e-05	-0.0001472	-723.478260869568	-639.999999999999
D29-Bros-B-2	Brooksia rostrata	16	6/28/2022	Active	7	17	1.1	208	Couple zooids broke off	Yes	120	2.2	Intact	0.000110933333333331	6.23999999999989e-05	4.85333333333318e-05	100.848484848482	44.1212121212108
D29-Bros-B-2	Brooksia rostrata	16	6/28/2022	Active	7	17	1.1	208	Couple zooids broke off	Yes	90	0.199999999999999	Anesthetized	-0.000214933333333332	-1.92000000000007e-05	-0.000195733333333331	-195.393939393938	-177.939393939392
D29-Csew-B-1	Cyclosalpa sewelli	16	6/28/2022	Moderate	19	5	4.5	208		Yes	120	2.2	Intact	-0.000277333333333332	6.23999999999989e-05	-0.000339733333333331	-61.6296296296294	-75.4962962962959
D29-Csew-B-1	Cyclosalpa sewelli	16	6/28/2022	Moderate	19	5	4.5	208		Yes	90	0.199999999999999	Anesthetized	-0.000325866666666667	-1.92000000000007e-05	-0.000306666666666666	-72.4148148148149	-68.148148148148
D29-Smax-B-1a	Salpa maxima	16	6/28/2022	Anesthetized	115	3	55	980	1/3 zooids broke, amphipods	No	120	2.2	Anesthetized	-0.00267866666666667	6.23999999999989e-05	-0.00274106666666667	-48.7030303030303	-49.8375757575757
D29-Smax-B-1b	Salpa maxima	16	6/28/2022	Active	115	4	53	980	2/4 zooids broke, amphipods, poop	Yes	120	2.2	Intact	-0.0137526666666667	6.23999999999989e-05	-0.0138150666666667	-259.48427672956	-260.661635220126
D29-Smax-B-1b	Salpa maxima	16	6/28/2022	Active	115	4	53	980	2/4 zooids broke, amphipods, poop	Yes	90	0.199999999999999	Anesthetized	-0.00555333333333332	-1.92000000000007e-05	-0.00553413333333332	-104.779874213836	-104.417610062893
D29-Szon-B-1	Soestia zonaria	16	6/28/2022	Active	7	9	0.7	208		Yes	120	2.2	Intact	-3.46666666666672e-05	6.23999999999989e-05	-9.70666666666661e-05	-49.5238095238103	-138.666666666666
D29-Szon-B-1	Soestia zonaria	16	6/28/2022	Active	7	9	0.7	208		Yes	90	0.199999999999999	Anesthetized	-0.000117866666666665	-1.92000000000007e-05	-9.86666666666639e-05	-168.380952380949	-140.952380952377
