"Filename","Frame","Time..mins.","X..mm.Zooid","Y..mm.Zooid","Z..mm.Zooid","NumberZooid","X..mm.Junk","Y..mm.Junk","Z..mm.Junk","Delta_time_s","Xd_mm","Yd_mm","Zd_mm","Delta_X_mm","Delta_Y_mm","Delta_Z_mm","Distance_mm","Speed_mm_s","Species","Architecture","Zooid.number","Comment","Speed_mms_abs","Speed_per_zooid","Colony_motion_length_mm","Colony_stolon_length_mm","Zooid_length_mm","Zooid_width_mm","Frontal_CSA_mm2","Jet_motion_angle","Dorso.Ventral_Zooid_Stolon_angle","colony_volume","speed_per_vol"
"A001C0122_20210709171630_0001",90,0.0125,-88.381,0.673,-2074.592,"0",-182.246,25.216,-929.754,0.000700000000000001,93.865,-24.543,-1144.838,119.644,-92.659,-1077.601,1088.17475261008,155453.536087154,"Iasis cylindrica","Linear",9,"weelia agg",155453.536087154,17272.6151207948,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A002C0044_20220421224612_0002",90,0.025,-9.741,-0.126,-373.397,"0",49.393,26.534,-490.24,0.0125,-59.134,-26.66,116.843,-104.612,-62.01,177.568,215.219202832833,1721.75362266266,"Iasis cylindrica","Linear",17,"shorter chain starts video, longer helical at end but not clear and no dye; given to Anneliese",1721.75362266266,101.27962486251,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A002C0081_20220422224921_0001",93,0.0259,179.168,85.908,-633.216,"0",59.29,-29.066,-433.862,0.000899999999999998,119.878,114.974,-199.354,127.802,57.995,-243.945,281.435488618618,31270.6098465131,"Salpa aspera","Linear",6,"dye, same specimen as A002C0080_20220422224908_0001",31270.6098465131,5211.76830775219,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0114_20210709170545_0001",100,0.0139,-22.143,14.014,-287.108,"0",91.584,14.072,-354.196,-0.012,-113.727,-0.0579999999999998,67.088,-229.216,-169.616,259.385,385.473916545595,-3212.28263787996,"Brooksia rostrata","Bipinnate",33,"",3212.28263787996,97.3418981175744,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0172_20210709184345_0001",100,0.1422,-1.855,-46.506,-479.537,"0",79.205,36.752,-406.06,0.1283,-81.06,-83.258,-73.477,135.469,-16.699,404.741,427.136961223212,332.920468607336,"Iasis cylindrica","Linear",14,"Weelia chain (x2); short chains, larger individuals",332.920468607336,23.7800334719526,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0172_20210709184345_0001",100,0.1422,-1.855,-46.506,-479.537,"0",79.205,36.752,-406.06,0.1283,-81.06,-83.258,-73.477,135.469,-16.699,404.741,427.136961223212,332.920468607336,"Iasis cylindrica","Linear",10,"Weelia chain (x2); short chains, larger individuals",332.920468607336,33.2920468607336,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0177_20210709184827_0001",100,0.0139,-35.551,62.002,-746.937,"0",48.355,71.065,-923.804,-0.1283,-83.906,-9.063,176.867,-41.68,-11.024,270.643,274.055440422189,-213.60517569929,"Iasis cylindrica","Linear",16,"Weelia chain (sm); Dyphid-? Comes into view",213.60517569929,13.3503234812056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0349_20210922220958_0001",100,0.0139,-90.254,15.016,-448.562,"0",-0.984,11.196,-435.955,-0.8657,-89.27,3.82,-12.607,-5.67700000000001,-84.124,115.07,142.654059195664,-16.478463578106,"Ritteriella sp.","Bipinnate",31,"dye",16.478463578106,0.531563341229227,NA,NA,23.682,16.25,NA,NA,NA,193859.371875,8.50021508825032e-05
"A002C0044_20220421224612_0002",100,0.0278,-14.387,-11.903,-374.194,"0",50.55,21.872,-483.445,0.0139,-64.937,-33.775,109.251,-71.668,-7.515,333.58,341.274660426173,2455.21338436096,"Iasis cylindrica","Linear",17,"shorter chain starts video, longer helical at end but not clear and no dye; given to Anneliese",2455.21338436096,144.424316727115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0164_20210709183900_0001",105,0.0146,30.856,48.358,-409.57,"0",5.561,51.581,-539.642,-0.0132,25.295,-3.22300000000001,130.072,2.835,5.479,-57.1139999999999,57.4461979768896,-435.198469521891,"Iasis cylindrica","Linear",44,"Weelia agg- nice sequence (3 separate chains)",435.198469521891,9.8908743073157,NA,NA,NA,NA,NA,NA,NA,NA,NA
