Measurement	Container 	Treatment	Species	Specimen	Stage	Activity level	Zooid length (mm)	Number of zooids	Colony volume (ml)	Date	Experiment	Time point (min)	Sensor ID	Injection time	Start time	O2 (mg/L)	Temperature (°C)	Container volume (ml)	Organism notes	Measurement notes	In-jar velocity (m/s)	Relevant control
121	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-2	Blastozooid	Moderate	25	6	NA	9/21/2021	5	0	P2	NA	NA	6.32	26.6	208	Pregnant with small embryos		NA	131
122	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-2	Blastozooid	Moderate	25	6	NA	9/21/2021	5	15	P2	NA	NA	6.36	26.2	208	Pregnant with small embryos		NA	132
123	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-2	Blastozooid	Moderate	25	6	NA	9/21/2021	5	30	P2	NA	NA	6.32	26.2	208	Pregnant with small embryos		NA	133
124	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-2	Blastozooid	Moderate	25	6	NA	9/21/2021	5	45	P2	NA	NA	6.29	26.2	208	Pregnant with small embryos		NA	134
125	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-2	Blastozooid	Moderate	25	6	NA	9/21/2021	5	60	P2	NA	NA	6.2	26.2	208	Pregnant with small embryos		NA	135
126	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-2	Blastozooid	Moderate	25	6	NA	9/21/2021	5	90	P2	NA	NA	6.18	25.7	208	Pregnant with small embryos		NA	136
127	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-2	Blastozooid	Moderate	25	6	NA	9/21/2021	5	120	P2	NA	NA	6.09	25.7	208	Pregnant with small embryos		NA	137
128	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-2	Blastozooid	Moderate	25	6	NA	9/21/2021	5	150	P2	NA	NA	5.98	25.6	208	Pregnant with small embryos		NA	138
129	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-2	Blastozooid	Moderate	25	6	NA	9/21/2021	5	180	P2	NA	NA	5.62	27.1	208	Pregnant with small embryos	Temperature measured in air	NA	139
130	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-2	Blastozooid	Moderate	25	6	NA	9/21/2021	5	360	P2	NA	NA	5.24	27.2	208	Pregnant with small embryos	Temperature measured in air	NA	140
131	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/21/2021	5	0	P3 control	NA	NA	6.54	26.6	72	Control local seawater		NA	NA
